og_representation,mapping
आंबावडे,Ambavade
आंबवणे,Ambavne
आंबवणे2)आंबवणे,Ambavne
आंबे,Ambe
आंबे तर्फे तळोजा,Ambe Tarf Taloja
आंबे तर्फे वाजे,Ambe Tarf Vaje
अंबेड,Ambed
अंबेड2)अंबेड,Ambed
अंबेड2)अंबेड3)अंबेड,Ambed
अंबेड2)अंबेड3)अंबेड4)अंबेड5)अंबेड,Ambed
अंबेड2)अंबेड3)अंबेड4)अंबेड5)अंबेड6)अंबेड7)अंबेड8)अंबेड9)अंबेड10)अंबेड1अंबेड12)अंबेड13)अंबेड,Ambed
अंबेड2)खामगांव,"Ambed , Khamgaon"
आंबेदे,ambede
आंबेधे,Ambedhe
आंबी,Ambee
&nbsp &nbsp आंबी,Ambee
आंबेगाव,Ambegao
Village Name Ambegaon Bu A,Ambegaon
आंबेगांव बु ाा 2) आंबेगांव बु ाा,Ambegaon
&nbsp &nbsp आंबेगांव बु ाा,Ambegaon
आंबेगांव बु ाा,Ambegaon
आंबेगांव,Ambegaon
आंबेगांव बु ाा2)आंबेगांव बु ाा,Ambegaon
आंबेगांव2)आंबेगांव,Ambegaon
आंबेगांव2)आंबेगांव3)आंबेगांव4)आंबेगांव,Ambegaon
आंबेगांव2)आंबेगांव3)आंबेगांव4)आंबेगांव5)आंबेगांव6)आंबेगांव7)आंबेगांव8)आंबेगांव9)आंबेगांव,Ambegaon
आंबेगाव,Ambegaon
आंबेगांव बु ाा2)धनकवडी3)कोंढवा बुद्रुक,"Ambegaon , Dhanakwadi , Kondhawe-Dhawade"
आंबेगांव बु ाा2)कोंढवे धावडे,"Ambegaon , Kondhawe-Dhawade"
आंबेगांव बु ाा2)मांगडेवाडी,"Ambegaon , Mangdewadi"
आंबेगांव बुद्रुक,Ambegaon Budruk
आंबेगांव खुर्द,Ambegaon Khurd
&nbsp &nbsp आंबेगांव खुर्द,Ambegaon Khurd
आंबेगाव खुर्द,Ambegaon Khurd
आंबेगाव खुर्द2)आंबेगाव खुर्द,Ambegaon Khurd
आंबेगांव खुर्द2)आंबेगांव खुर्द,Ambegaon Khurd
आंबेगांव खुर्द2)धनकवडी,"Ambegaon Khurd , Dhanakwadi"
आंबेगव्हाण,Ambegavhan
आंबेगव्हाण2)आंबेगव्हाण,Ambegavhan
आंबेगव्हाण2)आंबेगव्हाण3)आंबेगव्हाण,Ambegavhan
आंबेघर,Ambeghar
आंबेघर2)आंबेघर,Ambeghar
आंबेघर2)आंबेघर3)आंबेघर4)आंबेघर5)आंबेघर6)आंबेघर7)आंबेघर8)आंबेघर9)आंबेघर10)आंबेघर1आंबेघर12)आंबेघर13)आंबेघर,Ambeghar
आंबेघर,Ambeghar
आंबेघर तर्फे बालापुर,Ambeghar Tarf Balapur
आंबेघर तर्फे बालापुर,Ambeghar Tarf Balapur
आंबेघर तर्फ धरमपुर,Ambeghara Tarf Dharampur
आंबेखोर,Ambekhor
आंबेळे बु.,Ambele Budruk
आंबेली,Ambeli
आंबेंळे खु.,Ambemle Khu .
आंबेंळे खु.,Ambemle Khurd
आंबेपूर,Ambepur
आंबेरे बुद्रुक,Amber Budruk
आंबेरे खुर्द,Amber khurd
आंबर्डे,Amberde
आंबेसरी,Ambesari
आंबेशेतगाव,ambesetagao
आंबेशिव खुर्द,Ambeshiv Khurd
आंबेशिव र्खुद,Ambeshiv Khurd
आंबेशिव बुद्रुक,Ambeshiva Budruk
आंबेशिवथर,Ambeshivathar
आंबेत,Ambet
आंबेटेंभे,Ambetembhe
आंबेठाण,Ambethan
आंबेठाण2)आंबेठाण,Ambethan
आंबेठाण2)आंबेठाण3)आंबेठाण,Ambethan
आंबेठाण2)चाकण,"Ambethan , Chakan"
आंबेठाण2)देशमुखवाडी,"Ambethan , Deshmukh Wadi"
आंबेवाडी,Ambewadi
आंबेवाडी,Ambewadi
अंभई,Ambhai
आंभई,Ambhai
आंभाण,ambhan
आंभटपाडा,Ambhatapada
आंभे,Ambhe
आंभेरपाडा,Ambherapada
आंभू,Ambhu
आंभू2)आंभू,Ambhu
आंभू2)आंभू3)आंभू,Ambhu
आंभू2)आंभू3)आंभू4)आंभू,Ambhu
आंभू2)आव्हंडे3)आव्हंडे4)आव्हंडे5)आंबोली6)आंबोली,"Ambhu , Avhande , Amboli"
आंबी 2)आंबी,Ambi
आंबी2)आंबी3)आंबी,Ambi
आंबी 2)आकुर्डी,"Ambi , Akurdi"
आंबी बुद्रुक,Ambi Budruk
आंबी बुद्रुक2)आंबी बुद्रुक,Ambi Budruk
आंबी बुद्रुक2)आंबी बुद्रुक3)आंबी बुद्रुक,Ambi Budruk
आंबी बुद्रुक2)आंबी बुद्रुक3)आंबी बुद्रुक4)आंबी बुद्रुक5)आंबी बुद्रुक,Ambi Budruk
आंबी खुर्द,Ambi Khurd
आंबी खुर्द2)आंबी खुर्द,Ambi Khurd
आंबी खुर्द2)चांदगुडेवाडी,"Ambi Khurd , Chandgude Wadi"
आबिंस्ते,Ambiste
आंबिस्ते बुद्रुक,Ambiste Budruk
आंंबिस्ते बुद्रुक,Ambiste Budruk
आंबिस्ते खुर्द,Ambiste Khurd
आंंबिस्ते खुर्द,Ambiste Khurd
आंबिष्टेवाडी,ambistevadi
अंबिस्टेवाडी,Ambistewadi
आंंंंंंंंंंंबिष्टेवाडी,Ambistewadi
अबिवली,Ambivali
अंबीवली,Ambivali
आंबिवली,Ambivali
आंंबिवली,Ambivali
आंंंंबिवली,Ambivali
आंबीवली,Ambivali
आंबिवली (तर्फे दहीगाव),Ambivali (Tarf dahigao)
आंबिवली आदिवासीवाडी,Ambivali adivasivadi
अंबिवली बुद्रुक,ambivali Budruk
आंबवली बुद्रुक,Ambivali Budruk
आंबिवली बुद्रुक,Ambivali Budruk
आंबीवली बुद्रुक,Ambivali Budruk
आंबीवली बुद्रुक तर्फे वरेडी,Ambivali Budruk Tarf Varedi
आंबवली खुर्द,Ambivali Khurd
आंबीवली खुर्द,Ambivali Khurd
आंबिवली (सो ),Ambivali So
आंंंबिवली (सो ),Ambivali So
आंबिवली तर्फे चोण,Ambivali Tarf Chon
आंंंबिवली तर्फे चोण,Ambivali Tarf Chon
आंंबिवली (तर्फे दहीगाव),Ambivali Tarf Dahigaon
आंबिवली तर्फे दहीगावंट,Ambivali Tarf Dahigaon
आंबिवली त. कोतलखलाटी,Ambivali Tarf Kotalakhalati
आंबिवली तर्फे शेरे,Ambivali Tarf Shere
आंबिवली तर्फे तुंगारतन,Ambivali Tarf tungaratan
आंंबिवली तर्फे तुंगारतन,Ambivali Tarf Tungaratan
आबिंवली तर्फे वनखळ,Ambivali Tarf Vanakhal
आंबिवली तर्फे वासुंद्री,Ambivali Tarf Vasundri
आंबळे,Amble
आंबळे2)आंबळे,Amble
आंबळे2)आंबळे3)आंबळे,Amble
आंबळे2)आंबळे3)आंबळे4)आंबळे5)आंबळे6)आंबळे7)आंबळे8)आंबळे,Amble
आंबळे2)आंबळे3)आंबळे4)आंबळे5)आंबळे6)आंबळे7)आंबळे8)आंबळे9)आंबळे10)आंबळे1आंबळे12)आंबळे13)आंबळे14)आंबळे15)आंबळे,Amble
आंबळे2)दहिवडी,"Amble , Dahiwadi"
आंबळे2)इंदूरी,"Amble , Induri"
आंबळे2)करडे,"Amble , Karde"
आंबळे2)न्हावरे,"Amble , Nhavare"
आंबळे2)राजेवाडी,"Amble , Rajewadi"
आंबळे2)शिरूर ग्रामिण3)शिरुर न.पा.,"Amble , Shirur"
आंबळे2)टेकवडी3)माळशिरस,"Amble , Tekwadi , Malshiras"
अंबोडे,Ambode
आंबोडे,Ambode
आंबोडी,Ambodi
आंबोडी2)आंबोडी,Ambodi
आंबोडी2)आंबोडी3)आंबोडी,Ambodi
आंबोडी2)आंबोडी3)वनपूरी4)सोनोरी,Ambodi
आंबोडी2)वनपूरी3)आंबोडी,Ambodi
आंबोले,Ambole
आंबोली,Amboli
आंबोली2)आंबोली,Amboli
आंबोली2)आंबोली3)आंबोली,Amboli
आंबोली2)आंबोली3)आंबोली4)आंबोली,Amboli
आंबोली2)आंबोली3)आंबोली4)आंबोली5)आंबोली,Amboli
आंबोली,Amboli
आंबोली तर्फे बहारे,Amboli Tarf Bahare
आंबोशी,Amboshi
आंबोट,Ambot
आमदाबाद,Amdabad
आमदाबाद2)आमदाबाद,Amdabad
आमदाबाद2)आमदाबाद3)आमदाबाद4)आमदाबाद5)आमदाबाद6)आमदाबाद7)आमदाबाद8)आमदाबाद9)आमदाबाद,Amdabad
आमदाबाद2)मलठण,"Amdabad , Malthan"
आमदाबाद2)निमगांव भोगी,"Amdabad , Nimgao Bhogi"
आमदाबाद2)निमगांव दुडे,"Amdabad , Nimgao Dude"
आमदाबाद2)शिरुर,"Amdabad , Shirur"
आमडे,Amde
अमेणी,Ameni
आमजाई व्हरवडे,Amjai Verawade
आमलेवाडी2)आमलेवाडी3)आमलेवाडी4)आमलेवाडी5)आमलेवाडी6)आमलेवाडी7)आमलेवाडी,Amlewadi
आमलेवाडी,"Amlewadi , Shirur"
अंमोली,Ammoli
आमोंडी,Amondi
अमोनीमाळ,Amoni Mal
अमोनीमाळ2)गणेशरोड,"Amoni Mal , Ganesh Road"
अमोनीमाळ2)गणेशरोड3)बोरीपार्धी,"Amoni Mal , Ganesh Road , Boripardhi"
आमतेवाडी,Amoteavadi
अमरापूर2)अमरापूर,Amprapur
अमरापूर,Amrapur
आमरोळी,Amroli
आमशी,Amshi
अनफ बुद्रुक,Anaf Budruk
अनफ खुर्द,Anaf Khurd
अनगांव,anagao
अनगाव,Anagaon
आणाजे,Anaje
अनखर,Anakhar
आनंदवाडी,anandavadi
आनंदनगर,Anandnagar
अणदूर,Anandur
आनंदवाडी,Anandwadi
आनंदवाडी (आणे),Anandwadi (Ane)
अनंतनगर,anantanagar
ऐनापूर,Anapur
अनारी,Anari
अणस्पुरे,anaspure
अणवीर,anavir
अंदाड,Andad
आंडाऊ,Andau
आंधळे,Andhale
आंधळे2)आंधळे,Andhale
आंधळगांव,Andhalgaon
आंधळगांव2)आंधळगांव,Andhalgaon
आंधळगांव2)आंधळगांव3)आंधळगांव4)आंधळगांव5)आंधळगांव6)आंधळगांव7)आंधळगांव8)आंधळगांव9)आंधळगांव,Andhalgaon
आंधळगांव2)आलेगांव पागा,Andhalgaon
आंधळगांव2)न्हावरे,"Andhalgaon , Nhavare"
अंधारी,Andhari
अंधेरी,Andheri
आंदोशी,Andoshi
आणे,Ane
अणे,Ane
आणे,Ane
आंगसुळे2)आंगसुळे,Angsule
आंगसुळे2)आंगसुळे,Angsule
आंगसुळे2)आंगसुळे3)आंगसुळे4)आंगसुळे5)आंगसुळे,Angsule
आंगसुळे2)आंगसुळे3)आंगसुळे4)आंगसुळे5)आंगसुळे6)आंगसुळे7)आंगसुळे8)आंगसुळे9)आंगसुळे,Angsule
आगोती नं. 1,Angsule
आन्हे,Anhe
आणिक,Anik
अजीवली,Anjale
अंजनवेल,anjanavel
अंजनगांव,Anjangaon
अंजनगांव2)अंजनगांव,Anjangaon
अंजनगांव2)अंजनगांव3)अंजनगांव4)अंजनगांव,Anjangaon
अंजनगांव2)अंजनगांव3)अंजनगांव4)अंजनगांव5)अंजनगांव6)अंजनगांव,Anjangaon
अंजनगांव2)कऱ्हावागज,Anjangaon
अंजनगांव2)मेडद,"Anjangaon , Karhavagaj"
अंजळे,"Anjangaon , Medad"
अंजणी,anjani
अंजनावळे,Anjanwale
अंजप,Anjap
आंजर्ला,anjarla
आंजरुण,Anjarun
अंजुर,anjur
अंजूर,Anjur
अन्नापूर,Annapur
ऐनी,Anni
अंताडे,Antade
अंतार्डे,Antarde
अंतर्ली,Antarli
अंतार्ली,Antarli
आंतुर्णे,Anthurne
आंथुर्णे,Anthurne
आंथुर्णे2)आंथुर्णे,Anthurne
अंथुर्णे,Anthurne
आंथुर्णे2)भरणेवाडी,"Anthurne , Bharnewadi"
आंथुर्णे2)बोरी,"Anthurne , Bori"
आंथुर्णे2)इंदापुर ग्रामिण,"Anthurne , Indapur Gramin"
आंथुर्णे2)शेळगांव,"Anthurne , Shelgaon"
अंतोरे,antore
आंतोरे,Antore
अंत्राबंदखार,Antrabandakhar
आंत्राबामदाखार,Antrabandakhar
अंत्राट तर्फे निड,Antrat Tarf nida
अंत्राट तर्फे नीड,Antrat Tarf Nida
अंत्राट तर्फे वरेडी,Antrat Tarf Varedi
अंत्रोळी (हवेलीमधून),Antroli (Haveli Madhun)
अंत्रोळी (हवेलीमधून)2)अंत्रोळी (हवेलीमधून),Antroli (Haveli Madhun)
अंत्रोळी (हवेलीमधून)2)अंत्रोळी (हवेलीमधून)3)अंत्रोळी (हवेलीमधून),Antroli (Haveli Madhun)
अंत्रोळी (हवेलीमधून)2)अंत्रोळी (हवेलीमधून)3)अंत्रोळी (हवेलीमधून)4)अंत्रोळी (हवेलीमधून),Antroli (Haveli Madhun)
अंत्रोळी (हवेलीमधून)2)अंत्रोळी (हवेलीमधून)3)अंत्रोळी (हवेलीमधून)4)अंत्रोळी (हवेलीमधून)5)अंत्रोळी (हवेलीमधून),Antroli (Haveli Madhun)
अंत्रोळी (हवेलीमधून)2)अंत्रोळी (हवेलीमधून)3)अंत्रोळी (हवेलीमधून)4)अंत्रोळी (हवेलीमधून)5)अंत्रोळी (हवेलीमधून)6)अंत्रोळी (हवेलीमधून),Antroli (Haveli Madhun)
अंत्रोळी (हवेलीमधून)2)अंत्रोळी (हवेलीमधून)3)अंत्रोळी (हवेलीमधून)4)अंत्रोळी (हवेलीमधून)5)अंत्रोळी (हवेलीमधून)6)अंत्रोळी (हवेलीमधून)7)अंत्रोळी (हवेलीमधून)8)अंत्रोळी (हवेलीमधून)9)अंत्रोळी (हवेलीमधून)10)अंत्रोळी (हवेलीमधून)1अंत्रोळी (हवेलीमधून)12)अंत्रोळी (हवेलीमधून)13)अंत्रोळी (हवेलीमधून)14)अंत्रोळी (हवेलीमधून),Antroli (Haveli Madhun)
अंतुर्ली,Anturli
आणूर,Anur
अणुस्कूरा,Anuskura
ऐनवाडी,Anvadi
ओवळंे,Aovale
आपटाळे,Apatale
आपटवणे,Apatavane
आपटे,Apate
आपटी,Apati
आपटी बुद्रुक,Apati Budruk
