og_representation,mapping,confusion,frequency
बैकुण्ठ,Baikunth,,672
प्लाटनं,Plot no,y,670
वर्तमान,square meter,,666
दितीय,Ditiy,,665
रोहिणी,Rohini,,656
ओम,Om,,652
हैक्टैयर,Hectare,y,652
ताजगंज,Tajganj,,651
सिकन्दरा,Sikandara,,648
पुष्पांजली,Pushpanjali,,647
गोविन्द,Govind,,646
अविभाजित,Avibhajit,,643
तुलसी,Tulsi,,643
अजय,Ajay,,637
मीरा,Meera,,637
यमुना,Yamuna,,636
रहा,Raha,,636
मौज़ा,Mauja,,633
मुकिर,Mukir,,624
बरौली,Barauli,,618
योग,Yog,,618
प्रथमपक्ष,Pratham paksh,,616
कार्यालय,Karyalay,,613
कॉम्पलैक्स,Complex,,610
फ,F,y,605
प्रकार,Prakar,,602
खण्डन,Khandan,,594
हेक्टेयर,Hectare,y,583
दोनों,Dono,,582
किरावली,Kiravali,,579
वगमी,square meter,,579
वतादादी,square meter,,578
चार,Char,,573
द्वारिका,Dwarika,,572
गणपति,Ganpati,,571
यू,U,,570
जैरीन,Jairin,,569
अपार्टमेंट,Apartment,,568
शिवधाम,Shivdham,,567
नंं०,no,Y,565
दान,Dan,,562
रुनकता,Runkata,,562
शिवशक्ति,Shiv shakti,,562
सख्या,Number,y,562
इस,Is,y,557
कवर्ड,Covered,y,557
भगवती,Bhagvati,,556
सुपर,Super,,554
धनौली,Dhanauli,,551
क‚,K,y,547
निधिवन,Nidhivan,,546
सिंह,Singh,y,545
न०ं,no,y,542
पंचम,5th,y,538
महाराजा,Maharaja,,538
स्मार्ट,Smart,,538
बिहारी,Bihari,,536
केशव,Keshav,,531
हिस्सों,Hissson,y,530
मि०‚,,y,528
उन्नति,Unnati,,527
विकृत,Vikrut,,527
खसरासं,Khasra no,y,522
प्लाटसं,Plot san,y,515
गा०स०,,y,514
आवादी,Aavadi,,512
तरफ,Taraf,,511
द्वतीय,Dvatiy,,511
वग्रम्ी,square meter,y,511
दोनो,Dono,,510
प्रकाश,Prakash,,509
बल्देव,Baldev,,508
बलराम,Balram,,507
व०,,y,507
मेरे,Mere,,503
खातों,Khato,y,499
भागरकवा,Bhagrakva,,499
सीकरी,Sikri,,498
पुष्पाधाम,Pushpadham,,495
सिल्वर,Silver,,493
सीलिंग,Ceiling,,493
गंगा,Ganga,,492
कलवारी,Kalvari,,491
कस्बा,Kasba,,491
ऑफिस,Office,,488
सेकिण्ड,2nd,,487
बाजार,Bajar,,481
खेती,Kheti,,478
अशोका,Ashoka,,476
महादेव,Mahadev,,476
ए‚,"A,",y,474
कृष्णधाम,Krishnadham,,474
छत्त,Chatt,,473
हुये,Huye,,471
तथा,Tatha,,470
बोदला,Bodla,,469
वैष्णो,Vaishno,,468
मार्केट,Market,,466
बसई,Basai,y,464
रौहता,Rauhata,,462
विला,Vila,,462
दुर्गा,Durga,,460
लोहामण्डी,Lohamandi,,458
रॉयल,Royal,,457
ग्राउंड,Ground,,455
खसर,Khasa,,453
जिसमे,Jisme,,451
इमारत,Imarat,,450
नम्‍बर,no,,448
मौ,Mau,,445
नन्द,Nand,,442
क़षि,,Y,441
प्लाअ,Plaa,y,437
क्षेत्रफल्,Area,y,435
खातो,Khato,,435
नारायण,Narayan,,433
रही,Rahi,,431
जाे,Jo,,430
घटवासन,Ghatvasan,,428
राधे,Radhe,,426
जिसकी,Jiski,,425
पूरब,Purab,,424
ककुआ,Kakuaa,y,422
रामनगर,Ram nagar,,422
खादर,Khadar,,420
हज्जाम,Hajjam,,420
जुज़,Juj,y,418
गोपाल,Gopal,,417
मां,Ma,y,417
रूनकता,Runakta,,417
खुली,Khuli,,416
दहतोरा,Dahtora,,416
तह,Tah,,414
जगह,Jagah,,411
बैली,Baili,,411
नंवर,Nanvar,y,410
फिलेट,Flat,,407
कुलरकवा,Kularkava,,406
प्राइवेट,Private,,406
अपर,Upper,,405
बेसमेंट,Basement,,405
प्रेम,Prem,,403
पूरव,Purav,,401
चतुर्थतल,Chaturthtal,,399
जीवनराम,Jeevan ram,,399
टाऊन,Town,,398
बेसमेन्ट,Basement,,397
कुन्ज,Kunj,,396
कर्मयोगी,Karmyogi,,395
रामा,Rama,,395
रेजीडेंसी,Residency,,395
गाटास०,,Y,394
मार्ग,Marg,,394
समीप,Sameep,,394
सुनरख,Sunrakh,,394
घ,Gh,,390
महोली,Maholi,,386
हैकटेयर,Hectare,y,385
काम्पलैक्स,Complex,,384
मण्डी,Mandi,,383
कस्वा,Kasva,,382
ड्रीम,Dream,,382
एवं,Avam,,381
राम,Ram,,377
रामबल,Rambal,,377
सहाई,Sahai,y,377
न्०,no,y,376
बृजधाम,Brujdham,,375
मीअर,Miar,y,374
नाप,Nap,,373
पैलेस,Palace,,373
संंख्या,Number,,373
बांके,Banke,,372
चुंगी,Chungi,,371
वास,Vas,,369
मध्य,Madhy,,367
तह०,,y,366
संजय,Sanjay,,366
जाट,Jat,,365
त्रतीय,Tratiy,,365
खसरान०ं,Khasra no,y,362
वकदरभाग,Vakdar bhag,,362
मोती,Moti,,359
खा०सं०,Khasra no,y,356
हैक्टे,Haikte,y,355
जिस,Jis,,354
टैक्स,Tax,,353
गोपालधाम,Gopaldham,,344
श्याम,Shyam,,344
खातासं,Khata no,y,342
फर्स्ट,1st,,342
है०मेंसे,Hectare,y,342
खसरांन,Khasra no,y,341
हरी,Hari,,341
मु,Mu,,340
हैक्टे०,Hectare,y,340
डब्ल्यू,W,,338
पानीगॉव,Panigov,y,338
शारदा,Sharda,,337
शिवपुरी,Shivpuri,,337
जयसिंहपुरा,Jaysingh pura,,336
लक्ष्मी,Lakshmi,,336
शंकर,Shankar,,335
है‚,Hectare,y,334
आनन्द,Anand,,333
बजरंगधाम,Bajrang dham,,333
उपवन,Upvan,,332
उखर्रा,Ukharra,,331
मि‚,Mi,y,327
रेजीडेन्‍सी,Residency,,326
खास,Khas,,325
प्लाटंन,Plot number,y,322
पूजा,Pooja,,321
सनसिटी,Sun city,y,321
बाद,Bad,,319
इन्द्रपुरी,Indrapuri,,318
खेडा,Kheda,,318
हाईटस,Heighta,,318
ई०डब्लू०एस०,,Y,316
महेन्द्र,Mahendra,,316
पुरामना,Puramna,,314
खण्ड,Khand,,312
मॉ,,Y,311
थर्ड,3rd,,310
सब,Sab,,310
रकव,area,,309
सिक्स,6,,306
केशवकुंज,Keshavkunj,,305
ख्सरा,Khasra,,305
दूकान,Dukan,,305
ड,D,y,303
होम्स,Homes,,303
कर,Kar,,302
मु०,,y,302
लोक,Lok,,302
गणेशधाम,Ganesh dham,,301
राजपुर,Rajpur,,301
फस्ट,1st,,298
हरीपर्वत,Hari parvat,,297
हैं।,Hectare,y,297
पीलीपोखर,Peelipokhar,,296
कुसुम,Kusum,,295
जगनपुर,Jaganpur,,294
मैं,Main,y,294
वैष्णोधाम,Vaishnodham,,293
सम्पूर्ण्,Sampurn,y,293
टाइप,Type,,291
नैनाना,Nainana,,290
है०के,Hectare,y,290
कॉरपोरेशन,Corporation,,289
अनन्तम,Ananatam,,287
माँ,Ma,y,287
ंस,,y,287
जोकि,Joki,,285
हंसराज,Hansraj,,285
बिचपुरी,Bichpuri,,283
राजीव,Rajeev,,283
अन्दर,Andar,,281
गुलमोहर,Gulmohar,,281
पूरे,Pure,,281
फ़्लैट,Flat,,281
वाई,Y,y,280
वाटररेट,Water rate,y,280
समपूर्ण,Sampurn,,280
भा,Bha,,279
हमारा,Hamara,,279
अकबरा,Akbara,,278
बमरौली,Bamrauli,,277
संं,San,y,277
हाईट्स,Heights,,277
कहरई,Kahraee,y,276
पवन,Pavan,,276
ताज,Taj,,274
खसरासं०,Khasra no,y,273
गोल्डन,Golden,,273
बी‚,"B,",y,273
आवसीय,Aavsiy,,272
इकरारनामा,Ikrarnama,,272
मलपुरा,Malpura,,272
ग्रीन्स,Greens,,271
माधवकुंज,Madhavkunj,,271
और,Aur,,270
मंडी,Mandi,,270
अन्दरून्,Andrun,y,269
गीता,Geeta,,269
हाउस,House,,269
प्रा,Pra,,268
वना,Vana,,268
गनेश,Ganesh,,267
प्लाटखाली,empty plot,y,267
रायभा,Raybha,,267
राहुल,Rahul,,267
गा०,,y,265
निर्माण,Nirman,,265
श्रीकृष्णा,Shri krishna,,265
ओ,O,,264
खे,Khe,,264
गा०सं०,,y,264
सांई,Sai,y,264
लोअर,Loar,,263
देव,Dev,,262
वर्गफीट,square feet,,261
शास्त्रीपुरम,Shastripuram,,261
आदिनाथ,Adinath,,260
खातान,Khata,,260
वैशाली,Vaishali,,260
सिंघल,Singhal,,260
खेवट,Khevat,,259
नगर‚,"Nagar,",y,259
न०नि०,no,y,258
बालाजी,Balaji,,257
आफिस,Office,,256
थ्री,3,,256
नम्‍बरी,no,,256
आराध्या,Aaradhya,,255
एंड,And,,255
खण्डनसुदा,Khandansuda,,255
सैमरी,Saimari,y,255
गोविन्दपुर,Govindpur,,254
ईडब्ल्यूएस,EWS,,253
व्यावसायिक,Vyavsayik,,253
गया,Gaya,,252
सेकंड,2nd,,252
स्वर्ण,Swarn,,251
कालिन्द्री,Kalindri,,250
बालाजीधाम,Balajidham,,250
पुख्ता,Pukhta,,248
संंख्‍या,Number,y,248
इटौरा,Itaura,,247
कित,Kit,,246
पथौली,Pathauli,,246
ब्रज,Braj,,246
राधाधाम,Radha dham,,246
लाल,Lal,,246
जमुना,Jamuna,,245
प्लाॅट,Plot,,243
आशा,Asha,,242
बालाजीपुरम,Balajipuram,,242
सतोहा,Satoha,,240
संस्कृति,Sanskruti,,240
आरजी,RG,y,238
म,M,y,237
नारायन,Narayan,,236
मगटई,Magati,y,236
क्षे०फल,Area,y,235
गुलाब,Gulab,,235
भू,Bhu,,235
मुस्तकिल‚,"Mustkil,",y,235
वर्गमीटर‚,square meter,y,235
वि०,,y,235
क्षैत्रफल,Area,,234
क्ष्ज्ञे,Kshdnye,Y,234
असगरपुर,Asgarpur,,233
किरन,Kiran,,233
गणपती,Ganpati,,233
सत्ता,Satta,,233
खातास,Khata no,,232
नम्वर,no,,232
नवीन,Naveen,,232
श्रीकृष्ण,Shri krishna,,232
मोहन,Mohan,,231
एत्मादपुर,Atmadpur,,230
ह,,y,230
ंन,no,y,229
प्लट,Plot,,229
सीमा,Seema,,228
इन,In,,227
शारदापुरी,Shardapuri,,227
ख०न०,Khasra no,y,226
जगजीवन,Jagjeevan,,226
ता०,,y,226
बी०,,y,226
संम्पूर्ण,Sampurn,,226
कटरा,Katra,,225
कावेरी,Kaveri,,225
सर्वे,Survey,,225
कॉम्पलेक्स,Complex,,224
खेडिया,Khediya,,224
पूर्व,Purv,,224
अवधपुरी,Avadhpuri,,223
ख‚,"K,",y,223
प,P,y,223
बस्ती,Basti,,223
शिवाधाम,Shivadham,,223
दितीयतल,Ditiytal,,222
मायापुरम,Mayapuram,,222
संवाई,Sanvai,Y,222
पंचमतल,Panchamtal,,221
भोगीपुरा,Bhogipura,,221
अशोक,Ashok,,220
ख०,,Y,220
संगम,Sangam,,220
कृषी,Krushi,,217
गेट,Gate,,217
सदर,Sadar,,217
सवांई,Savani,y,217
से०,,y,217
स्क्वायर,Square,,217
हक्ट,Hakt,,217
चारबाग,Charbag,,216
बहिस्ताबाद,Bahistabad,,216
मोहिनी,Mohini,,215
म्ी,,y,215
विना,Vina,,215
हें,Hain,y,215
प्लाटस,Plots,,214
बांकेबिहारी,Bankebihari,,214
अल्प,Alp,,213
कृपा,Krupa,,213
कौलक्खा,Kaulkkha,y,213
गौरी,Gauri,,213
खातानं,Khata no,y,212
चन्द्रोदय,Chandroday,,212
लकावली,Lakavali,,212
कृष्णकुंज,Krishnakunj,,211
सैनिक,Sainik,,211
एक्स,X,,210
चरण,Charan,,210
ज्योति,Jyoti,,210
क्षै०,Area,Y,209
माैजा,Mauja,,209
पैत्रिक,Paitrik,,208
शक्ति,Shakti,,208
राजवन,Rajvan,,207
बै,Bai,,206
यमुनाधाम,Yamuna dham,,206
च,Ch,,204
दाऊजी,Dauji,y,204
बगिया,Bagiya,,204
बसुधा,Basudha,,204
सें,Se,y,204
ऑफ़,Of,,203
ताजनगरी,Taj nagari,,202
हो,Ho,,202
चौराहे,Chaurahe,,201
जि०,G,Y,201
देहात,Dehat,,201
आशियाना,Aashiyana,,200
कालिन्दी,Kalindi,,200
टॉवर,Tower,,200
मुक्ति,Mukti,,200
राजनगर,Raj nagar,,200
विन्टेज,Vintage,,200
आश्रम,Aashram,,199
कमला,Kamla,,199
प्लेस,Place,,199
राजपुरम,Rajpuram,,199
एलआईजी,LIJ,,198
एलीगेन्स,Elegance,,198
बलदाऊ,Baldau,,198
शिवपुरम,Shivpuram,,198
सै०,,y,198
मधुवन,Madhuvan,,197
निकुंज,Nikunj,,195
मोजा,Moja,,195
वाकैै,Vakai,,195
हमारे,Hamare,,195
छलेसर,Chalesar,,193
तामीरात,Tamirat,,193
वर्ल्ड,World,,192
क्तिा,,y,191
नादऊ,Nadau,y,191
पुरा,Pura,,191
मेप्रथमपक्ष,Me pratham paksh,y,191
रामकृष्ण,Ram krishna,,191
अंकित,Ankit,,190
कस्‍बा,Kasba,,190
राजा,Raja,,189
रैजीडेन्सी,Residency,,189
गनपति,Ganpati,,188
रका,area,,188
सिटि,City,,188
खुला,Khula,,187
मोहनलाल,Mohanlal,,187
वाली,Vali,,187
अजीजपुर,Ajijpur,,186
एकता,Ekta,,186
कैलाश,Kailash,,186
सरस्वती,Saraswati,,186
गोकुल,Gokul,,185
गोपाला,Gopala,,185
बाईपुर,Baipur,y,185
श्रीराम,Shree ram,,185
हनुमान,Hanuman,,185
अशं,Ashan,y,184
पोखर,Pokhar,,184
है०मेसे,Hectare,y,184
नि०,,y,183
बालकृष्णधाम,Bal krishna dham,,183
मकान‚,house,y,183
मनोहरपुर,Manoharpur,,183
वार्ड‚,Ward,y,183
व्यू,View,,183
तीसरा,3rd,y,182
प्‍लॉट,Plot,,182
सम्पूर्ण।,Sampurn.,y,182
सर्विस,Service,,182
मौजूदा,Maujuda,,181
शिवानी,Shivani,,181
ओमेक्स,Omex,,180
ख्रसरा,Khrasara,,180
नेहरा,Nehra,,180
बेची,Bechi,,180
अ०,A,y,179
एकल,Akal,,179
कृर्षि,Agricultural,,179
विनायक,Vinayak,,179
कमरे,Kamre,,178
जिनका,Jinka,,178
वमी,Vami,,178
खंडन,Khandan,,177
जेरीन,Jerin,,176
नितिन,Nitin,,176
भागूपुर,Bhagupur,,176
भा्ग,Bhag,y,176
संं०,,Y,176
सेकेण्ड,2nd,,176
तजवीजा,Tajvija,,175
बने,Bane,,175
बसेरा,Basera,,175
रिसोर्ट,Resort,,175
र०,,y,174
हाउसिंग,Housing,,174
आकाश,Aakash,,173
युनिट,Unit,,173
सत्य,Saty,,173
ईडब्लूएस,EWS,,172
एल०आई०जी०,,y,172
काव्यांजली,Kavyanjali,,172
द,D,y,172
नरसी,Narsi,,172
क्यू,Q,y,171
ऑफ,Of,,170
रकाब,area,,170
रोशन,Roshan,,170
विमला,Vimla,,170
कटारा,Katara,,169
ब‚,B,y,169
बसुन्धरा,Basundhara,,168
मोड,Mod,,168
आ,Aa,,167
ककरैठा,Kakraitha,,167
वर्गीम,square meter,,167
ेकृषि,Agriculture,y,167
अभिषेकपुरी,Abhishekpuri,,166
चौहटना,Chauhatna,,166
भोलई,Bholai,y,166
हुआ,Huaa,,166
बुढेरा,Budhera,,165
मालिक,Malik,,165
हॉल,Hall,,165
बैकुण्ठधाम,Baikunthdham,,164
रूप,Roop,,164
खातासं०,Khata no,y,163
जाय,Jay,,163
देवी,Devi,,162
प्‍लौट,Plot,,162
शिवाशा,Shivasha,,162
सैमरा,Saimara,,162
पांच,Panch,,161
बेचा,Becha,,161
रसदी,Rasdi,,161
एण्ड,And,,160
प्रगति,Pragati,,160
बरहन,Barhan,,160
ओमनगर,Om nagar,,159
दीनदयाल,Dindayal,,159
न०नि०नं०,no,Y,159
नन्दिनी,Nandini,,159
यशराज,Yashraj,,159
राजसिटी,Raj city,y,159
महावीर,Mahaveer,,158
रठिया,Rathiya,,158
कृषि‚,Agricultural,y,157
जार,Jar,,157
हेै,Hai,,157
अ‚ब,"A, B",y,156
कुरा,Kura,,156
डिसचार्ज,Discharge,,156
दीपपुरम,Deep puram,,156
वर्ग्,square meter,y,156
सन्त,Sant,,156
खंदौली,Khandauli,,155
दिशा,Disha,,155
पीली,Peeli,,155
बीघा,Beegha,,155
रकवई,area,y,155
अंगूठी,Anguthi,,154
कॉम्प्लेक्स,Complex,,154
बजरंग,Bajrang,,154
आर०के०पुरम,,y,153
केएच,KH,,153
खनं,Khanan,y,153
जीएच,GH,,153
पदम,Padam,,153
पास,Pas,,153
बाबरपुर,Babarpur,,153
करवा,Karva,,152
खण्डनशुदा,Khandanshuda,,152
पैतृक,Paitruk,,152
बाबा,Baba,,152
मुख्य,Mukhya,,152
मौहम्मदपुर,Mauhammadpur,,152
कॉमर्शियल,Commercial,,151
गौलोकधाम,Gaulok dham,,151
बल्देवपुरम,Baldev puram,,151
बृजवाटिका,Brujvatika,,151
मुडी,Mudi,,151
हिस्सो,Hisso,,151
आठवां,8th,y,150
बजट,Budget,y,150
आन्यौर,Aanyaur,,149
इन्द्रलोक,Indralok,,149
बॉके,Boke,y,149
व०मी०‚,square meter,y,149
शंकरपुरी,Shankarpuri,,149
कृष्‍णा,Krishna,,148
को,Ko,,148
लगा,Laga,,147
नमबर,no,,146
पीताम्बरा,Pitambara,,146
मि०आदि,,y,146
े,,,146
केशवधाम,Keshav dham,,145
ज,Ja,y,145
पचगाई,Pachgai,y,145
बगीची,Bagichi,,145
ममता,Mamta,,145
राजबिहार,Raj bihar,,145
वग,square meter,,145
अनुपम,Anupam,,144
कृषिखाता,Agricultural khata,,144
जानिब,Janib,,144
पटेल,Patel,,144
प्लांट,Plot,,144
बल्दाऊ,Baldau,,144
सदोला,Sadola,,144
साइड,Side,,144
कार्नर,Corner,,143
खालीप्लाट,Empty plot,y,143
वां,Van,y,143
सातवां,7th,,143
हें०,Hectare,y,143
भूखन्ड,Bhukhand,,142
स्पेस,Space,,142
मेस्थित,located at,y,141
लोधी,Lodhi,,141
ा,,y,141
कवा,Kava,,140
गढ़ी,Gadhi,,140
जि,G,y,140
राघेश्याम,Raghe shyam,,140
स्थल,Sthal,,140
