word,translation,confusion,example,frequency
आस्था,Aastha,,आस्था सिटी –रूनक्ता,1
इटौरा,Itaura,,इटौरा राजस्व ग्राम,12
इन्दरा,Indira,t,इन्दरा कॉलोनी नगर पंचायत गोवर्धन,1
इरादतन,,t,सैंया से इरादतन0 रोड,1
इसराइल,,t,बनी इसराइल,1
इस्लामगंज,Islamganj,,इस्लामगंज,1
ईदगाह,Idgah,,ईदगाह-रकाबगँज वार्ड,1
ईसापुर,Isapur,,ईसापुर बांगर,1
उखर्रा,Ukharra,,मु० उखर्रा पुरानी आबादी,1
उत्तरी,,t,मौहल्ला ज्ञान उत्तरी नगर पंचायत नन्दगांव,1
उपर्युक्त,,t,उपर्युक्त के अतिरिक्त अन्दर नगर पंचायत सीमा गोवर्धन,1
ऊचागांव,Unchagaon,,ऊचागांव,1
ऊपरकाेट,Upperkot,,ऊपरकाेट नगर पंचायत बाजना,1
ए,,t,अंसल ए पी आई पनवारी,1
एकसप्रेस,Express,t,ताज/यमुना एकसप्रेस वे सहारे के राजस्व ग्राम,1
एक्सप्रेस,Express,t,यमुना एक्सप्रेस वे के अन्तर्गत पडने वाले राजस्व ग्राम,1
एच,,t,ग्वालियर रोड एन एच 3,1
एत्मादपुर,Etmadpur,,एत्मादपुर,10
एन,,t,ग्वालियर रोड एन एच 3,1
एम,,t,एम.जी. रोड,1
एरिया,,t,"नगर पालिक ा परिषद कोसीकलांॅ (मनीराम बास, रेलवे एरिया)",2
एस,,t,औधा0 क्षेत्र/एस0आई0डी0सी,1
औधा,,t,औधा0 क्षेत्र/एस0आई0डी0सी,1
औधाेगिक,Audyogik,t,औधाेगिक क्षेत्र छाता,8
औरंगाबाद,Aurangabad,,औरंगाबाद बांगर,1
क,,t,अकबरपुर,12
ककरैठा,Kakraita,,ककरैठा,2
ककुआ,Kakua,,ककुआ राजस्व ग्राम,8
कचेरा,Kachera ,,नगर पालिक ा परिषद कोसीकलांॅ (राठौर नगर कचेरा बास),2
कटरा,Katra,,कटरा बाजार नगर पंचायत राया,9
कटारा,Katra,,बमरोली कटारा,2
कटोती,Katauti,,चाह कटोती,1
कटौती,Katauti,,चाह कटौती नगरपालिका मथुरा,1
कठमालिया,Keotaliya,,नगर पंचायत छाता (चन्दूपुरा-कठमालिया),2
कढेर,Kadher,,कढेर पुरा नगर पंचायत फरह,1
कमाल,Kamaal,t,खेरा0 से न0 कमाल रोड,1
करीमुल्ला,,t,"छाता, मौहल्ला करीमुल्ला बास नगर पालिका कोसीकलां",2
करीमुल्ली,,t,नगर पालिक ा परिषद कोसीकलांॅ (करीमुल्ली बास),1
कलवारी,Kalwari,,कलवारी,1
कलाल,Kalal ,,कलाल खेडिया,2
कली,Kaali ,,नगला कली,2
कलोनी,Colony,,टीचर्स कलोनी झाऊलाल नगर,1
कल्यान,Kalyan,,कल्यान सागर दितिय,2
कसाई,Kasai,,कसाई पाडा नगर पंचायत गोवर्धन,2
कहरई,Kahrai,,कहरई,1
का,,t,अठखम्बा नगर पालिका वृन्दावन,6
काकाजी,Kakaji,,काकाजी नगर पंचायत गोकुल,1
कागारौल,Kagarol,,खेरा0 से कागारौल रोड,1
काजीपाडा,Kazipura,,काजीपाडा,3
कांदऊ,,t,कांदऊ बारऊ 1,2
कानूनगोयान,Kanoongoyan,,कानूनगोयान गली नगरपालिका मथुरा,1
कान्‍ती,Kanti,,कान्‍ती प्रसाद नगर पंचायत बल्‍देव,1
काम्पलेक्स,Complex,t,अपार्टमेन्ट व काम्पलेक्स,1
काम्पलैक्स,Complex,t,अपार्टमेंट व काम्पलैक्स,1
काली,Kaali,,मौहल्ला रामनगर काली का मंदिर नगर पालिका कोसीकलां,1
कालोनी,Colony,t,अम्बेडकर नगर कालोनी,5
कालौनी,Colony,t,अध्यापक कालौनी नगर पंचायत राया,9
किरावली,Kiraoli,,किरावली,20
किशन,Kishan,t,मिलक किशन चौबे,1
किशोरपु,,t,किशोरपुरा ३ नगर पालिका वृन्दावन,3
किशोरपुरा,Kishorpura,,किशोरपुरा ३ नगर पालिका वृन्दावन,3
की,,t,अडूकी,4
कुआं,,t,कुआं खेडा,1
कुंआ,,t,कुंआ खेडा,1
कुंज,Kunj,t,तमसर कुंज बजरियान नगर पंचायत गोवर्धन,2
कुण्ड,Kund,,कुण्डौल,1
कुण्डौल,Kundaul,,कुण्डौल,1
कुम्हरान,Kumharan ,,नगर पंचायत राधाकुण्ड वार्ड 04 कुम्हरान,1
कुम्हारान,Kumharan ,,कुम्हारान नगर पंचायत राधाकुण्ड,1
कृषि,Krishi,,वृन्दावन कृषि क्षेत्र,1
कृष्ण,Krishna,t,कृष्ण बिहार नगर पंचायत गोवर्धन,1
कृष्णा,Krishna,t,कृष्णा नगर द्वितीय,4
कृष्णानगर,Krishna Nagar,t,"नगर पालिक ा परिषद कोसीकलांॅ (मनीराम बास, कृष्णानगर)",1
के,,t,उपर्युक्त के अतिरिक्त अन्दर नगर पंचायत सीमा गोवर्धन,36
केशीघाट,Keshi Ghat,,केशीघाट नगर पालिका वृन्दावन,2
केशोपुर,Keshopur,,केशोपुर मनोहरपुर,1
कैन्ट,Cantt,,कैन्ट वार्ड,1
कैमारवन,,t,कैमारवन नगर पालिका वृन्दावन,2
कॉलोनी,Colony,t,इन्दरा कॉलोनी नगर पंचायत गोवर्धन,1
को,,t,कोटला,1
कोटला,Kotla,,कोटला,1
कोटा,Kota,,कोटा,1
कोतवाली,Kotawali,,कोतवाली,2
कोयला,Koyla,,कोयला अलीपुर बांगर,1
कोरियान,Corian,,जाटवान कोरियान नगर पंचायत गोवर्धन,1
कोलक्खा,Kaulakha,,कोलक्खा राजस्व ग्राम,1
कोलीपाडा,Kolipada,,कोलीपाडा नगर पंचायत महावन,1
कोसीकलां,Kosi Kalan,,"छाता, मौहल्ला करीमुल्ला बास नगर पालिका कोसीकलां",27
कोसीकलांॅ,Kosi Kalan,,नगर पालिक ा परिषद कोसीकलांॅ (करीमुल्ली बास),26
कौलक्खा,Kaulakha,,कौलक्खा राजस्व ग्राम,1
क्रष्णानगर,Krishna Nagar,,मौहल्ला मनीराम बास क्रष्णानगर नगर पालिका कोसीकलां,1
क्षे,,t,अर्द्घनगरीय क्षेत्र,1
क्षेत्र,,t,अर्द्घनगरीय क्षेत्र,18
क्षेत्र/एस,,t,औधा0 क्षेत्र/एस0आई0डी0सी,1
खटीक,Khatik,,खटीक टूला,2
खटीकान,Khatikan,,खटीकान नगर पंचायत सौंख,1
खण्ड,Khand,,गोबर्धन विकास खण्ड के अति- विश्ष्टि राज,7
खरौट,Kharauth,,नगर पालिक ा परिषद कोसीकलांॅ (खरौट द्वार),1
खादर,Khadara,,अब्दुल नवीपुर खादर,3
खाम,,t,नगर पालिक ा परिषद कोसीकलांॅ (मण्डी खाम),1
खासपुर,Khaspur,,खासपुर,2
खिडकी,Khirki,,खिडकी आगा,4
खेडा,Kheda,,कुआं खेडा,5
खेडिया,"Khedia
",,कलाल खेडिया,2
खेरा,Khera,,खेरा0 से कागारौल रोड,3
खेरागढ,Kheragarh,,खेरागढ़,3
खेरागढ़,Kheragarh,,खेरागढ़,73
खेरिया,Kheria,,हिगोट खेरिया,1
खोजी,Khoji,t,खोजी,1
ख्ररौट,Kherot,,मौहल्ला ख्ररौट द्वार नगर पालिका कोसीकलां,1
गऊघाट,Gaighat,,गऊघाट,2
गंज,Ganj,,37 ताजगंज,3
गडरियापाडा,,t,गडरियापाडा नगर पंचायत महावन,1
गडा,Gada,,गडा पचौरी तृतीय सुनरटटी तृतीय,2
गढा,Gada,,गढा पचौरी,1
गढी,Garhi,,नगर पंचायत राया वार्ड 09 हनुमान गढी,2
गताश्रम,,t,गताश्रम टीला,2
गनेशरा,Ganeshara,,गनेशरा,1
गली,,t,अटखम्भा गली नगर पंचायत गोकुल,16
गल्ला,Galla,t,गल्ला मण्डी,1
गांगवान,,t,नगर पालिक ा परिषद कोसीकलांॅ (गांगवान),2
गांधी,Gandhi,,गांधी नगर नगर पालिका वृन्दावन,3
गाेकुल,Gokul,,खिडकी नगर पंचायत गाेकुल,1
गाेरा,Gora,,गाेरा पाडा,1
गिरधरपुर,Girdharpur,,गिरधरपुर,1
गिरारा,Girara,,मोहन गिरारा,1
गुतिला,Gutila,,गुतिला,1
गुधैनिया,Gudhainiya,,गुधैनिया गली नगर पंचायत बल्‍देव,1
गुप्ता,Gupta,t,गुप्ता कालौनी नंगर पंचायत राया,1
गुसाई,Gosai,,मोहल्ला गुसाई नगर पंचायत नन्दगांव,1
गुहेता,Guheta,,गुहेता दस विसा,1
गेट,Gate,t,भरतपुर गेट,4
गैलाना,Gailana,,गैलाना,2
गोकुल,Gokul,,अटखम्भा गली नगर पंचायत गोकुल,11
गोपाल,Gopal,,गली गोपाल जी जुलाहपुरी,7
गोपालपुरा,Gopalpura,,गोपालपुरा,1
गोपीनाथ,Gopinath,,गोपीनाथबाग नगर पालिका वृन्दावन,3
गोपीनाथबाग,Gopinath Bagh,,गोपीनाथबाग नगर पालिका वृन्दावन,1
गोबर्धन,Govardhan,,गोबर्धन विकास खण्ड के अति- विश्ष्टि राज,1
गोमती,Gomti,,नगर पालिक ा परिषद कोसीकलांॅ (गोमतीकुण्ड),1
गोमतीकुण्ड,Kashi Kund,,नगर पालिक ा परिषद कोसीकलांॅ (गोमतीकुण्ड),1
गोर्वधन,Govardhan,,गोर्वधन नगर पालिक ा की मुख्य सडकें,2
गोवर्धन,Govardhan,,इन्दरा कॉलोनी नगर पंचायत गोवर्धन,27
गोविन्द,Govind,,गोविन्द गंज,3
गोविन्दगंज,Govind Ganj,,गोविन्दगंज नगरपालिका मथुरा,1
गोविन्ददे,Govind ,,गोविन्ददेव नगर पालिका वृन्दावन,1
गोविन्ददेव,Govind Dev,,गोविन्ददेव नगर पालिका वृन्दावन,1
गोविन्दपुर,Govinpur,,गोविन्दपुर,1
गोस्वाम,Goswami,t,गोस्वामी घेरा नगर पंचायत राधाकुण्ड,1
गोस्वामी,Goswami,,गोस्वामी घेरा नगर पंचायत राधाकुण्ड,1
गौरधाम,Gurudham,,गौरधाम कालौनी नगर पंचायत राधाकुण्ड,1
गौरधाम्,Gurudham,,नगर पंचायत राधाकुण्ड वार्ड 05 गौरधाम्,1
गौरवा,Gaurava,,गोवर्धन गौरवा,1
ग्,,t,अजीजपुर राजस्व ग्राम,1
ग्राम,Gram,t,अजीजपुर राजस्व ग्राम,87
ग्रामीण,Gramin,,ग्रामीण क्षेत्र,2
ग्वालियर,Gwalior,,आगरा ग्वालियर रोड,3
घटवासन,Ghatwasan,,घटवासन,1
घाटी,Ghati,,घाटी बहाल राय,2
घेरा,Gherai,,गोस्वामी घेरा नगर पंचायत राधाकुण्ड,2
चकलेश्वर,Chakleshwar,,साक्षी गोपाल चकलेश्वर नगर पंचायत गोवर्धन,1
चकशिशम,Chakzeem,,चकशिशम,1
चटसाल,,t,चटसाल नगर पंचायत फरह,1
चतुभुर्जी,,t,नगर पंचायत छाता (चतुभुर्जी),1
चतुर्भुजी,,t,मौहल्ला चतुर्भुजी नगर पंचायत छाता,1
चन्द,Chand,,चन्दापार्टी 1,1
चन्दापार्टी,,t,चन्दापार्टी 1,1
चन्दूपुरा,Chandpur,,नगर पंचायत छाता (चन्दूपुरा-कठमालिया),2
चन्‍द्रभान,Chandrabhan,,नगला चन्‍द्रभान,1
चमरौली,Chamrauli,,चमरौली राजस्व ग्राम,2
चार,,t,वार्ड नंम्बर चार नगर पंचायत राया,1
चाह,,t,चाह कटोती,2
चित्रगुप्त,Chitragupta,,बरूआ नगर ‚ चित्रगुप्त नगर,1
चुंगी,Chungi,,नैनाना ब्राहमण चुंगी अन्दर राजस्व ग्राम,1
चूहरा,Chehara,,चूहरा,1
चैना,Chaina,,नगर पंचायत बरसाना (मौहल्ला चैना क ा थोक),2
चौक,Chowk,,नन्द चौक नगर पंचायत गोकुल,1
चौबे,Chaube ,,मिलक किशन चौबे,1
चौमहा,Chomaha,,मौहल्ला मारूफ थम्मू नगर पंचायत चौमहा,1
चौमुहा,Chomaha,,नगर पंचायत चौमुहाँ (जुझारू),8
चौमुहाँ,Chomaha,,नगर पंचायत चौमुहाँ (जुझारू),7
छटीकरा,Chhatikara,,छटीकरा,1
छता,Chhata,,छता वार्ड,2
छत्ता,Chhata,,छत्ता वार्ड,1
छत्तावार्ड,Chhatta Ward,,छत्तावार्ड –1,2
छाजू,Chhajju,,मौहल्ला छाजू अंश लडूका नगर पंचायत नन्दगांव,2
छाता,Chhata,,औधाेगिक क्षेत्र छाता,79
छावनी,Chhawani,,छावनी,2
छिनगईया,,t,छिनगईयां सहजुआ नगर पंचायत सौंख,1
छिनगईयां,,t,छिनगईयां सहजुआ नगर पंचायत सौंख,1
छीपीगली,Chhipi Gali,,छीपीगली नगर पालिका वृन्दावन,2
छीपीटोला,Chhipitola,,छीपीटोला,1
छीपीटोलारोड, Chhipitola Road,,बालूगंज छीपीटोलारोड,1
छोडकर,,t,लक्ष्मी मन्दिर नारायन सडक पर स्थित सम्पत्ति का छोडकर नगर पंचायत गोवर्धन,1
जऊपुरा,Jaipura,,जऊपुरा,1
जखोदा,Yashoda,,जखोदा,1
जखौदा,Yashoda,,जखौदा,1
जगनपुर,,t,जगनपुर,3
जगनेर,Jagner,,आगरा जगनेर रोड,2
जगन्‍नाथपुरी,Jagannath Puri,,जगन्‍नाथपुरी नगर पंयायत बल्देव,1
जनरलगंज,General Ganj,,जनरलगंज,2
जयसिंहपुरा,Jai Singh Pura,,जयसिंहपुरा,2
जाट,Jaat,,जाटव टूला दितिय जैननगर,1
जाटवान,,t,जाटव टूला दितिय जैननगर,6
जाटवान,,t,जाटवान 1,12
जाटान,Jatan,,नगर पंचायत छाता (जाटव जाटान),2
जाब,,t,जाब,1
जी,,t,अजीजपुर,5
जुझार,Jujhar,,नगर पंचायत चौमुहाँ (जुझारू),1
जुझारू,Jhunharu,t,नगर पंचायत चौमुहाँ (जुझारू),1
जुलाहपुरी,Julahpuri,,गली गोपाल जी जुलाहपुरी,3
जैंत,Jait,,जैंत,1
जैन,Jain,t,जाटव टूला दितिय जैननगर,1
जैननगर,Jain Nagar,,जाटव टूला दितिय जैननगर,1
जोरावर,Jorawar,,जोरावर,1
जोशिया,Josiah,,जोशियान नगर पंचायत राधाकुण्ड,1
जोशियान,Joshiyan,,जोशियान नगर पंचायत राधाकुण्ड,1
ज्ञान,Gyan,t,ज्ञानगुदडी नगर पालिका वृन्दावन,3
ज्ञानगुदड,Gyan Guddri,,ज्ञानगुदडी नगर पालिका वृन्दावन,1
ज्ञानगुदडी,Gyan Guddri,,ज्ञानगुदडी नगर पालिका वृन्दावन,1
झाऊलाल,,t,झाऊलाल नगर,2
टंकी,,t,टंकीवाली गली नगर पंचायत राधाकुण्ड,1
टंकीवाली,Tanki Wali,,टंकीवाली गली नगर पंचायत राधाकुण्ड,1
टपरा,Tapra,,टपरा राजस्व ग्राम,6
टप्पा,Tappa,,शहजादपुर टप्पा सोनई,1
टाटिया,Tatiya,,नगर पंचायत बरसाना (मौहल्ला टाटिया वहबूदिया),1
टाटियावहबूदिया,,t,मौहल्ला टाटियावहबूदिया नगर पंचायत बरसाना,1
टीचर्स,,t,टीचर्स कलोनी झाऊलाल नगर,1
टीला,Tila,,गताश्रम टीला,6
टीलापाडा,Tila Pada,,टीलापाडा नगर पंचायत गोकुल,1
टूला,Tolli,,खटीक टूला,4
ट्यूबवैल,,t,ट्यूबवैल कालोनी हनुमान नगर,1
ठठेरान,Thatheran,,ठठेरान गली,2
ठाकुरान,Thakuran,,ठाकुरान नगर पंचायत गोवर्धन,1
डी,,t,औधा0 क्षेत्र/एस0आई0डी0सी,2
डेरासरस,,t,डेरासरस-रकाबगँज वार्ड,1
डैम्पीयर,Dampier,,डैम्पीयर नगर,2
ढोलीखार,,t,ढोलीखार-रकाबगँज वार्ड,1
तक,,t,नगर पालिका अन्दर यमुना ब्रिज से लक्ष्मीनगर तिराहे तक,1
तकिया,Takiya,,सुनरटटी दितिय तकिया शहर,1
तन्तूरा,Tantpura,t,तन्तूरा,1
तबेलान,,t,मालियान तबेलान नगर पंचायत गोवर्धन,1
तमसर,Tamsar,,तमसर कुंज बजरियान नगर पंचायत गोवर्धन,1
तराश,Tarash,,तराश मंदिर नगर पालिका वृन्दावन,2
तलाबशाही,Talab Shahi,,मौहल्ला तलाबशाही नगर पालिका कोसीकलां,1
तहसील,Tehsil,t,तहसील मांट के अतिविशिष्ट राजस्व ग्राम,3
तांगडा,Tangda,t,नगर पालिक ा परिषद कोसीकलांॅ (तांगडा),2
ताज/यमुना,Taj Yamuna,,ताज/यमुना एकसप्रेस वे सहारे के राजस्व ग्राम,1
ताजगंज,Taj Ganj,,37 ताजगंज,5
तांतपुर,Tantpur,,आगरा से तांतपुर रोड,1
तालाब,Talab Shahi,,नगर पालिक ा परिषद कोसीकलांॅ (तालाब शाही),1
तिराहे,Tiraha,,नगर पालिका अन्दर यमुना ब्रिज से लक्ष्मीनगर तिराहे तक,1
तीन,,t,वार्ड नंम्बर तीन नगर पंचायत राया,1
तृतीय,,t,गडा पचौरी तृतीय सुनरटटी तृतीय,2
ते,,t,आगरा फतेह0सी0भरतपुर,1
तेली,Teli,,नगर पंचायत छाता (तेली पाडा),2
तेहरा,,t,तेहरा,2
तैयवपुर,Tahpur,,तैयवपुर,1
तोरा,Tora,,तोरा,1
थम्मू,,t,नगर पंचायत चौमुहाँ (थम्मू),8
थोक,Thok,,नगर पंचायत छाता (नगला थोक),10
दक्षिणी,,t,मौहल्ला भूरा अंश ज्ञान दक्षिणी नगर पंचायत नन्दगांव,1
दयालबाग,Dayal Bagh,,दयालबाग,2
दर,Darah,,अब्दुल नवीपुर खादर,1
दरवाजा,Darwaza,,तेहरा दरवाजा,5
दलपत,Dalpat,,दलपत खिडकी,2
दस,Das,,गुहेता दस विसा,1
दहतोरा,Dehtora,,दहतोरा,1
दाऊजी,Dauji,,दाऊजी नगर नगर पंचायत बाजना,1
दाऊद,Daud,,नगर पंचायत चौमुहाँ (थम्मू दाऊद),2
दितिय,,t,कल्यान सागर दितिय,7
दितीय,,t,किशोरपुरा दितीय नगर पालिका वृन्दावन,1
दिवा,Diwa,,मौहल्ला दिवा अंश भूरा नगर पंचायत नन्दगांव,2
देवरी,Devri,,देवरी राजस्व ग्राम,3
देशलान,Deshaatan,t,देशलान नगर पंचायत राधाकुण्ड,2
दौताना,Dautana,,दौताना,1
दौरेठा,Doretha,,दौरेठा,1
दौलतपुर,Daulatpur,,दौलतपुर फरह,1
द्रितीय,,t,शिावपुरी द्रितीय नगर पंचायत राया,1
द्वार,Dwar,,द्वारिक ापुरी,2
द्वारिक,Dwarika,,द्वारिक ापुरी,1
द्वारिकापुरी,Dwarika Puri,,द्वारिकापुरी नगरपालिका मथुरा,1
द्वितीय,,t,कृष्णा नगर द्वितीय,3
धनोली,Dhanoli,,धनोली राजस्व ग्राम,1
धनौली,Dhanoli,,धनौली राजस्व ग्राम,1
धाकरान,Dhakran,,धाकरान-रकाबगँज वार्ड,1
धाधूपुरा,Dhandhapura,,मु० धाधूपुरा पुरानी आबादी,1
धांधूपुरा,Dhandhapura,,धांधूपुरा,1
धीमर,Dhimra,,धीमर पाडा नगर पंचायत फरह,1
धौ,,t,धौरेरा बांगर,1
धौरेरा,Dhaurera,,धौरेरा बांगर,1
धौली,Dholi,,धौली प्याऊ,2
न,,t,अटखम्भा गली नगर पंचायत गोकुल,57
नई,,t,नगर पंचायत बरसाना (मौहल्ला नई क ालोनी राधानगरी),2
नग,,t,अटखम्भा गली नगर पंचायत गोकुल,1
नगर,Nagar,t,अटखम्भा गली नगर पंचायत गोकुल,366
नंगर,Nagar,t,गुप्ता कालौनी नंगर पंचायत राया,1
नगरपालिक,Nagar Palika,,अम्बाखार नगरपालिका मथुरा,8
नगरपालिका,Nagar Palika,,अम्बाखार नगरपालिका मथुरा,35
नगला,Nagla,,नगर पंचायत छाता (नगला थोक),14
नंदगांव,Nandgaon,,नगर पंचायत नंदगांव,1
नन्द,Nand,,"छाता, छाता, नन्दगाँव",1
नन्दगाँव,Nandgaon,,"छाता, छाता, नन्दगाँव",29
नन्दगांव,Nandgaon,,मोहल्ला गुसाई नगर पंचायत नन्दगांव,10
नन्दभवन,Nand Bhawan,,नन्दभवन गली नगर पंचायत गोकुल,1
नंम्बर,Number,t,वार्ड नंम्बर चार नगर पंचायत राया,3
नया,,t,नया नगला,4
नरी,,t,नरी,1
नवादा,Nawada,,नवादा,1
नवीन,Naveen,,नगर पंचायत सौख वार्ड 03 नवीन क ाला,2
नवीपुर,Naveenpur,,अब्दुल नवीपुर खादर,2
नशीन,,t,सज्जादा नशीन,1
नाई,,t,नाई की मण्डी मार्ग,2
नाडू,Nadau,,नगर पालिक ा परिषद कोसीकलांॅ (नाडू बास),2
नामनेर,Namner,,नामनेर-रकाबगँज वार्ड,1
नारायन,Narayan,,लक्ष्मी मन्दिर नारायन सडक पर स्थित सम्पत्ति का छोडकर नगर पंचायत गोवर्धन,1
नाहर,Nahra,,मेहरानाहरगंज राजस्व ग्राम,1
निक,NIC,t,नगर पालिक ा परिषद कोसीकलांॅ (सराय निक ास),1
निकास,Nikasi,,मौहल्ला सराय निकास नगर पालिका कोसीकलां,1
निगम,,t,नगर निगम आगरा,2
निवास,,t,राधानिवास २,1
नीवरी,Niwari,,नीवरी रोड नगर पंचायत बल्‍देव,1
नैनाना,Nainana,,नैनाना जाट राजस्व ग्राम,3
नैनानाजाट,Nainana Jat,,नैनानाजाट राजस्व ग्राम,1
नौगांव,Naugaon,,नौगांव,1
नौबरी,,t,नौबरी,1
नौहझील,Naujhil,,नौहझील,22
न्रगर,,t,मनोहरपुरा प्रथम न्रगर पालिका मथुरा,1
पगर,,t,शिवपुरी प्रथम पगर पंचायत राया,1
पंचातय,,t,व्यौपारियान नगर पंचातय महावन,1
पंचायत,Panchayat,t,अटखम्भा गली नगर पंचायत गोकुल,208
पंचायात,Panchayat,t,बडा बाजार नगर पंचायात बाजना,1
पचौरी,Pachauri,,गडा पचौरी तृतीय सुनरटटी तृतीय,3
पछैया,,t,पछैया,1
पंजाबी,Punjabi,t,"नगर पालिक ा परिषद कोसीकलांॅ (मनीराम बास, पंजाबी क ालोनी)",2
पठानान,,t,पठानान,1
पडने,,t,यमुना एक्सप्रेस वे के अन्तर्गत पडने वाले राजस्व ग्राम,1
पत्थर,Pathar,t,नगर पालिका वृन्दावन वार्ड 08 पत्थरपुर,1
पत्थरपुर,Pathar Pur ,,नगर पालिका वृन्दावन वार्ड 08 पत्थरपुर,1
पत्थरपुरा,Pathar Pur,,पत्थरपुरा नगर पालिका वृन्दावन,1
पथौली,Patholi,,पथौली,1
पदी,Padia,,नगला पदी,1
पनवारी,Panwari,,अंसल ए पी आई पनवारी,1
पन्नापुर,,t,पन्नापुर,2
पंयातय,,t,पुराना बस अडडा नगर पंयातय बल्‍देव,1
पंयायत,,t,जगन्‍नाथपुरी नगर पंयायत बल्देव,4
पर,,t,आगरा मथ्‌ुरा रोड पर,3
परिषद,Parishad,t,नगर पालिक ा परिषद कोसीकलांॅ (करीमुल्ली बास),27
पर्वत,Parwata,,हरीपर्वत,2
पश्चिमी,,t,नगर पंचायत बरसाना (मौहल्ला पश्चिमी कटरा बाग वाला),2
पाइसा,,t,नगला पाइसा नगर पालिका मथुरा,1
पाईसा,,t,नगला पाईसा,1
पांच,Paanch,t,वार्ड नंम्बर पांच नगर पंचायत राया,1
पाडा,Panda,,अहीरपाडा,11
पाराशर,Parashar,,गली पाराशर दितिय,1
पालिक,Palaka,,अठखम्बा नगर पालिका वृन्दावन,29
पालिका,Palika,t,अठखम्बा नगर पालिका वृन्दावन,88
पालीखेडा,Pali Kheda,t,पालीखेडा,1
पिनाहट,Pinahat,,नगर पंचायत पिनाहट,1
पी,,t,अंसल ए पी आई पनवारी,2
पुख्ता,Pukhta,,सराय पुख्ता,1
पुर,,t,अकबरपुर,1
पुरा,,t,अभयपुरा राजस्व ग्राम,2
पुराना,Purana,t,नगर पंचायत बरसाना (मौहल्ला सुदामा पुराना अडडा रंगीली गली),4
पुरानी,Purani,t,मु० उखर्रा पुरानी आबादी,2
पूरनाथोक,,t,नगर पंचायत सौख वार्ड 09 पूरनाथोक,2
पूर्वी,Purvi,,नगर पंचायत बरसाना (मौहल्ला पूर्वी कटरा),2
पेंठगली,,t,पेंठगली,1
पैंठ,Painth,,पैंठ नगर पंचायत फरह,1
पोईया,Poiya,,पोईया (मोजा ),1
प्याऊ,Pyau,,धौली प्याऊ,2
प्रजापति,Prajapati,,होली प्रजापति नगर पंचायत बल्‍देव,1
प्रताप,Pratap,t,प्रताप नगर,2
प्रथम,Pratham,t,कल्यान सागर प्रथम,12
