word,translation,confusion,frequency,example
आशियाना,Aashiyana,,15,आर०एस0 आशियाना
आश्रम,Aashram,,13,आश्रम बिहार
आश्रय,Aashray,,2,आश्रय पुरम
आसपास,Aaspas,,1,"कच्चा गढ महन्त कॉलोनी,हॉस्पीटल के आसपास की बस्ती"
आटा,Aata,,2,आटा मील
आटस,Aatas,,7,आटस खादर
आवादी,Aavadi,,1,शेरगढ की शेष आवादी
आवास,Aavas,,2,इन्द्रा आवास कालौनी
आवासीय,Aavasiy,,6,औधोगिक क्षेत्र साइट ए (महोली) आवासीय
अब्बास,Abbas,,2,अब्बास नगर
अब्दुल,Abdul,,2,अब्दुल नवीपुर खादर
अब्दुलनवीपुर,Abdulnavipur,,1,अब्दुलनवीपुर लिंक रोड पर पुराना भटटा
अभैदोपुरा,Abhaidopura,,15,"अभुआपुराT.Aअंदर, अभैदोपुरा, बरौली, मोरी"
अभैदोंपुरा,Abhaidopura,,1,अभैदोंपुरा
अभयकुन्ज,Abhaykunj,,1,अभयकुन्ज
अभयपुरा,Abhaypura,,7,अभयपुरा
अभैपुरा,Abhepura,,7,अभैपुरा खादर
अभुआपुरा,Abhuaapura,y,12,अभुआपुराT.Aअंदर
अबुआ,Abuaa,y,1,नगला अबुआ
अछनेरा,Achnera,,11,अछनेरा
अचरू,Achru,,16,अचरूल
अचरूल,Achrul,,1,अचरूल
एड,Ad,,1,ट्रान्स यमुना सेयद चोराहे से सुग्रीव सिंह एड 0 के मकान तक
एडीए,ADA,,1,संजय पैेलेस ग्रुप हाऊसिंग स्कीम(एच0आई0जी0फलैट एडीए द्वारा निर्मित)
अदन,Adan,,3,अदनबाग
अदनबाग,Adanbag,,2,अदनबाग
अडडा,Adda,,5,पुराना अडडा
अड्डा,Adda,,2,पुराना बस अड्डा
अडडे,Adde,,3,ईदगाह बस स्टेण्ड (प्रतापपुरा चौराहे से खेरिया हवाई अडडे तक)
अडीग,Adeeg,,3,अडीग
अध्यापक,Adhyapak,,1,अध्यापक नगर
आदिनाथ,Adinath,,2,आदिनाथ ग्रीन वैली
अदिति,Aditi,,2,अदिति बिहार
आदित्य,Aditya,,1,आदित्य कुन्ज क ालौनी (गो0 ब्राह्रमणान)
आदित्‍यकुंज,Adityakunj,,1,आदित्‍यकुंज कालौनी
अडू,Adu,,3,अडूकी
अडूकी,Aduki,,1,अडूकी
अई,Ae,y,3,अई
अगनपुरा,Aganpura,,1,अगनपुरा
अगरपुर,Agarpur,,1,अगरपुर
अगरयाला,Agaryala,,6,अगरयाला
एजेन्सी,Agency,,4,अजीजपुर ( सिरोली मोड से आराधना गैस एजेन्सी तक)
आगरा,Agra,,11,आगरा इन्क्लेव
अग्रसैन,Agrasain,y,3,अग्रसैन नगर
अग्रसेन,Agrasen,,4,अग्रसेन नगर
अग्रसेेन,Agrasen,,1,अग्रसेेन नगर
अग्रवाल,Agraval,,6,अग्रवाल कालोनी
अगवार,Agvar,,3,अगवार खास
अहमल,Ahamal,,1,अहमल
अहारन,Aharan,,1,अहारन
अहाता,Ahata,,1,मल्लाटूला अहाता किला खटीक टूला
अहीर,Aheer,,28,अहीर गली
अहीरपाडा,Aheerpada,,1,अहीरपाडा
अहेरी,Aheri,,1,अहेरीपाडा
अहेरीपाडा,Aheripada,,1,अहेरीपाडा
अहेरियान,Aheriyan,,3,अहेरियान
अहिल्या,Ahilya,,3,अहिल्या गंज खादर
अहिल्यावाई,Ahilyabai,y,1,अहिल्यावाई होल्कर
अहिल्यागंज,Ahilyaganj,,4,अहिल्यागंज खादर
अहमद,Ahmad,,6,अहमद नगर
अहमदपुर,Ahmadpur,,2,अहमदपुर
अहतमाली,Ahtamali,,10,ककरैठा अहतमाली
अहत्माली,Ahtmali,,2,धिगरौली अहत्माली
अहूरी,Ahuru,,2,अहूरी
अजन्ता,Ajanta,,3,अजन्ता कालेनी
अजय,Ajay,,2,अजय नगर
अजीत,Ajeet,,2,अजीत नगर गेट
अजीता,Ajeeta,,1,नगला अजीता
अजीज,Ajij,,2,अजीजपुर
अजीजपुर,Ajijpur,,18,अजीजपुर
अजमेर,Ajmer,,1,टीला अजमेरी खां
अजमेरी,Ajmeri,,2,टीला अजमेरी खां
अजनौठी,Ajnauthi,,6,अजनौठी
अजुद्व,Ajudva,,2,अजुद्व पुरम
अक,Ak,y,3,अकबरपुर
अकौस,Akaus,,18,अकौस खादर
अकौश,Akaush,,19,"अकौस बांगर, नगला अकौश बांगर"
अकबरा,Akbara,,9,अकबरा
अकबरपुर,Akbarpur,,4,अकबरपुर
अकवरपुर,Akbarpur,,1,अकवरपुर
अखिलेश,Akhilesh,,2,अखिलेश टावर
अखवाई,Akhvaee,y,7,अखवाई
अकोला,Akola,,1,अकोला
अक्षयपात्र,Akshaypatra,,1,पी एल सराफ अस्पताल से अक्षयपात्र तक
अक्षयवाटिक,Akshayvatik,,1,अक्षयवाटिक ा
अलबतिया,Albatiya,,2,अलबतिया ग्रामीण
अल्का,Alfa,,3,अल्का कुंज
अल्हैपुर,Alhaipur,,2,अल्हैपुर
अली,Ali,,3,अली नगर
एलीगेट,Aligate,,1,शिवम एलीगेट
अलीखाँ,Alikha,y,5,"मनोहरपुर, महावन बांगर, जिकिरियापुर, सराय अलीखाँ"
अलीपुर,Alipur,,5,अलीपुर
अलिपुर,Alipur,,3,कोयला अलिपुर बांगर
अलियाबाद,Aliyabad,,1,बील अलियाबाद
अलकापुरी,Alkapuri,,1,अलकापुरी
अल्कापुरी,Alkapuri,,1,अल्कापुरी
अल्लादीन,Alladin,,1,सब्जी मण्डी अल्लादीन के मकान से मण्डी समिति की बाउन्ड्री
अलोरा,Alora,,1,अलोरा एन्क्लेव
अलवाई,Alvaee,y,6,अलवाई
अलवर,Alvar,,2,अलवर पुल से छरौरा ग्राम की प्रारम्भिक सीमा तक
अलवतिया,Alvatiya,,1,नगला अलवतिया
एम,Am,,24,आर०बी०एम० स्टेट
अमाही,Amahi,,1,अमाही
अमन,Aman,,1,अमन रेजीडेन्सी
अमानाबाद,Amanabad,,1,अमानाबाद
अमानुल्ललापुर,Amanullalapur,,1,अमानुल्ललापुर
अमानुल्लापुर,Amanullapur,,5,अमानुल्लापुर
अमर,Amar,,12,अमरदीप
अमरदीप,Amardeep,,1,अमरदीप
अमरलता,Amarlata,,1,अमरलता कुंज
अमरलोक,Amarlok,,1,अमरलोक कालौनी
अमरपुरा,Amarpura,,1,अमरपुरा
अमरसिंह,Amarsinh,y,2,थना अमरसिंह
ऐमाजोन,Amazon,,1,विश्र्वकर्मा ऐमाजोन
एमाजोन,Amazon ,,1,विश्वकर्मा एमाजोन
अम्बाखार,Ambakhar,,1,अम्बाखार
अम्बेडकर,Ambedkar,,7,अम्बेडकर क ालोनी बठैन रोड
अम्बेडकरनगर,Ambedkar nagar,,2,अम्बेडकरनगर
अमीरपुर,Ameerpur,,3,अमीरपुर
अमरिकन,American,,1,अमरिकन मिशन
अमेरिकन,American,,1,अमेरिकन मिशन
अमित,amit,,3,अमित एन्कलेव
अमिता,Amita,,5,अमिता कालौनी
आमला,Amla,,3,आमला सुल्तानपुर खादर
अमृतपुरी,Amritpuri,,1,अमृतपुरी
अनाज,Anaj,,1,अनाज मण्डी
आनन्द,Anand,,20,आनन्द अपार्टमेंट
आनंद,Anand,,3,आनंद अपार्टमेंट
अानन्द,Anand,,1,अानन्द विहार
अनांद,Anand,,1,प्रेम अनांद कुंज
आनन्‍दकृष्‍णावन,Anand krishnavan,,1,आनन्‍दकृष्‍णावन
आनन्दपुरम,Anand puram ,,2,आनन्दपुरम
आनन्‍दवाटिका,Anand vatika,,2,आनन्‍दवाटिका एक्‍स० कालौनी
आनन्दा,Ananda,,1,राम रघु आनन्दा
आनन्दधाम,Ananddham,,1,आनन्दधाम
आनन्‍दधाम,Ananddham ,,1,आनन्‍दधाम कालौनी
आनन्दी,Anandi,,1,आनन्दीपुरम
आनन्दीपुरम,Anandipuram,,1,आनन्दीपुरम
आनंदीपुरम,Anandipuram,,1,आनंदीपुरम
आनन्दलोक,Anandlok,,3,आनन्दलोक कालौनी
आनन्दपुरी,Anandpuri,,1,आनन्दपुरी
आनन्दवन,Anandvan,,3,आनन्दवन कॉलोनी
अनन्त,Anant,,2,अनन्त पुरम
अनन्तश्री,Anantshree,,2,अनन्तश्री अपार्टमेंट
अनार,Anar,,2,अनार गली
अनौड़ा,Anauda,,7,अनौड़ा
एण्ड,And,,3,टैक्सनशीला माल एण्ड सिनप्लैक्स
अन्दर,Andar,,13,अभैदोपुरा (T.A.अन्दर)
अंगनपुरा,Anganpura,,4,अंगनपुरा
अंगूरी,Anguri,,3,अंगूरी डीम⁄अंगूरी विला
अंगूठी,Anguthi,,4,अंगूठी
अंजली,Anjali,,1,अंजली पुरम⁄ एन्कलेव
अंजनीधाम,Anjanidham,,1,अंजनीधाम कालौनी
अजनेरा,anjnera,,3,एत्मादपुर अजनेरा
अन्ना,Anna,,2,अन्ना आइकॉन
आन्नद,Annad,,2,आन्नद वाटिका
अन्नापुरम,Annapuram,,1,अन्नापुरम
अंसल,Ansal,,5,अंसल इमरल्ड हाइटस
अंश,Ansh,,26,कैमारवन का अंश
अन्ता,Anta,,2,अन्तापाडा
अन्तापाडा,Antapada,,1,अन्तापाडा
अन्तिम,Antim,,5,छटीकरा चौराह ेसे राल होकर बसौती की अन्तिम सीमा तक
अनुपम,Anupam,,14,अनुपम गार्डन
अनुपमबाग,Anupambag,,1,अनुपमबाग
अनुपमरायल,Anupamrayal,y,1,अनुपमरायल अपार्टमेंट
अनुराग,Anurag,,2,अनुराग नगर
अनुष्का,Anushka,,1,अनुष्का रेजीडेन्सी
अन्य,Anya,,4,चैतन्य बिहार अन्य फेस
अर्पणा,Aparna,,4,अर्पणा अपार्टमेंट
अपर्णा,Aparna,,2,अपर्णा मोल व्यास मार्केट
अपार्णा,Aparna,,1,अपार्णा प्लाजा
अपार्ट,Apart,,1,अनन्तश्री अपार्टमेंट
अपार्टमेंट,Apartment,,78,अनन्तश्री अपार्टमेंट
अपार्टमेन्ट,Apartment ,,31,अनुपम रॉयल अपार्टमेन्ट
अपार्टमेट,Apartment ,,5,गायत्री अपार्टमेट
अ‍पर्टमेंट,Apartment ,,2,नवभाराट अ‍पर्टमेंट
अपर्ट्मेंट,Apartment ,,2,नेहरु नगर अपर्ट्मेंट
अ‍पार्ट्मेंट,Apartment ,,1,प्रेमलता अ‍पार्ट्मेंट
अपार्टमंट,Apartment ,,1,राजदीप अपार्टमंट
अपार्टमेण्ट,Apartment ,,1,राजश्री अपार्टमेण्ट
एपार्टमेन्ट,Apartment ,,1,विभव ग्रांड एपार्टमेन्ट
अपार्टमेन्ट्स,Apartments,,5,अशोका एवन्यू अपार्टमेन्ट्स
अपार्टमेन्टस,Apartments,,1,नीरव अपार्टमेन्टस
एप्रूव्ड,Approved,,3,जयसिंहपुरा एप्रूव्ड कॉलोनी
एप्रव्ड,Approved,,1,सैथिया स्टेट ए0डी0ए0एप्रव्ड
एपूब्ड,Approved,,1,नवविकसित एपूब्ड कालौनी
अपुपमबाग,Apupambag,,1,अपुपमबाग
आरर्केड,Orchid,,1,गणेश आरर्केड
आर्केड,Orchid,,1,गणेश आर्केड
आर्किड,Orchid,,1,राधा आर्किड /विस्तार
आर्चिड,Orchid,,6,कृष्णा आर्चिड कॉलोनी
आर्किड⁄विस्तार,Orchid/Vistar,,1,राधा आर्किड⁄विस्तार
अरदाया,Ardaya,,9,अरदाया
एरिया,Area,,23,ओल्ड जी०टी० रोड का एरिया
अरेला,Arela,,2,अरेला
अरहर,Arhar,,2,नगला अरहर
अरहेरा,Arhera,,8,अरहेरा
अरिहन्त,Arihant,,1,अरिहन्त ग्रीन
एरिय,Ariy,y,1,ओल्ड जी०टी० रोड का एरिया
अर्जुन,Arjun,,8,अर्जुन नगर
अर्जुनपुरा,Arjunnpura,,3,अर्जुनपुरा
आर्मी,Army,,1,आर्मी गार्डन
अरनौटा,Arnauta,,3,अरनौटा
अरसैना,Arsaina,,11,अरसैना
अरसेना,Arsena,,1,अरसेना
अर्श,Arsh,,1,अर्श सिटी
अर्ष,Arsh,,1,अर्ष सिटी
अरतौनी,Artauni,,6,अरतौनी
अरतोनी,Artoni,,1,अरतोनी
अरूण,Arun,,2,अरूण बिहार
अरविन्द,Arvind,,1,अरविन्दपुरम
अरविन्दपुरम,Arvind puram,,1,अरविन्दपुरम
आर्यसमाज,Arya samaj,,1,आर्यसमाज क्रासिेग से जी0आई0सी तक
असद,Asad,,2,गली असद
असंल,Asanl,,1,असंल टाउन
असगर,Asgar,,1,सतोहा असगरपुर
असगरपुर,Asgarpur,,1,सतोहा असगरपुर
अशोक,Ashok,,6,अशोक नगर
अशोका,Ashoka,,6,अशोका एन्कलेव
अष्टसखी,Ashtsakhi,,1,अष्टसखी घाट
असकुण्डा,Askunda,,2,असकुण्डा बाजार
अस्पताल,Aspatal,,2,पी एल सराफ अस्पताल से अक्षयपात्र तक
अस्तौली,Astauli,,6,अस्तौली
आस्था,Astha,,1,आस्था सिटी
अस्थाई,Asthai,y,1,वरबाली अस्थाई तालियान तालाब का किनारा
अटा,Ata,,10,अटा
अटल्ला,Atalla,,1,अटल्ला चुंगी से पागल बाबा मंदिर तक
अटल्लाचंगी,Atallachangi,,1,अटल्लाचंगी से बस स्टैण्ड तक
अटल्लाचुंगी,Atallachungi,,1,अटल्लाचुंगी से विद्यापीठ चौराहे तक
अटलवन,Atalvan,,1,अटलवन
अथाई,Athaee,y,5,अथाई
अठखम्बा,Athkhamba,,1,अठखम्बा
अठखम्मा,Athkhamma,,1,अठखम्मा
अतिरिक्त,Atirikt,,3,उपरोक्त के अतिरिक्त पन्नापुर की आबादी
एत्मादोला,Atmadola,,1,एत्मादोला
एत्मादपुर,Atmadpur,,7,एत्मादपुर अजनेरा
एत्माउददौला,Atmaduddaula,,1,एत्माउददौला
औछटा,Auchata,,7,औछटा
औधोगिक,Audhogik,,4,औधोगिक क्षेत्र साइट ए (महोली)
औलेन्डा,Aulenda,y,11,औलेन्डा
औलिया,Auliya,,2,औलिया रोड
और,Aur,,2,औरगाबाद बागर
औरगाबाद,Auragabad,,3,औरगाबाद बागर
औरंगाबाद,Aurangabad,,3,औरंगाबाद खादर
औरंगपुर,Aurangpur,,7,औरंगपुर
अवधपुरी,Avadhpuri,,1,अवधपुरी
अवागढ,Avagadh,,1,अवागढ हाउस
अवागढ़,Avagadh ,,1,अवागढ़ हाउस
अवैरनी,Avairni,,10,"अमीरपुर, अवैरनी"
अवाखेडा,Avakheda,,1,अवाखेडा
अवाखेड़ा,Avakheda,,1,अवाखेड़ा
एवं,Avam,y,7,उत्तम नगर एवं पालीवाल विद्यालय के पीछे की विक ासशील आबादी
अवन्ती,Avanti,,6,अवन्ती इन्कलेव
अवधेश,Avdhesh,,2,अवधेश पुरी
अवधेशपुरी,Avdheshpuri,,2,अवधेशपुरी फेस-1
अव्दतीय,Avdtiy,y,1,अव्दतीय नगर
एवेन्यू,Avenue,,2,पार्क एवेन्यू
एवन्यू,Avenue ,y,1,अशोका एवन्यू अपार्टमेन्ट्स
आवला,Avla,,2,आवला सुल्तानपुर खादर
अवस्थित,Avsthit,,2,शाहपुर रोड एवं शेरगढ रोड के मध्य अवस्थित विकसित एवं विक ासशील क ालोनियो की दरे
अवुआ,Avuaa,y,1,नगला अवुआ
अयैरा,Ayaira,,1,अयैरा
अयेला,Ayela,,18,अयेला
अयेरा,Ayera,,1,अयेरा
अयोध्या,Ayodhya,,1,अयोध्या कुंज
अयोध्यानगर,Ayodhya nagar,,1,अयोध्यानगर
अयोध्यापुरम,Ayodhya puram,,1,अयोध्यापुरम
बी,B,,27,आर०बी०एम० स्टेट
ब,B,,2,अकबरपुर
बा,Ba,,6,अक बरपुर बांगर
बाबा,Baba,,11,अटल्ला चुंगी से पागल बाबा मंदिर तक
बाबरपुर,Babarpur,,2,बाबरपुर
बबरौद,Babraud,,6,बबरौद
बाबूलाल,Babulal,,1,सेठ बाबूलाल कॉलोनी
बबूरी,Baburi,,3,बबूरी गर्बी
बच्ची,Bacchi,,1,गढी बच्ची
बछगाँव,Bachgaon,,5,बछगाँव
बाद,Bad,,10,अमानाबाद
बडा,Bada,,7,परिक्रमा मार्ग पर डीग रोड से बडा बाजार (लक्ष्मी नरायन मन्दिर) होंकर मवेशी खाना तक
बाडा,Bada,,2,कौशिकी कॉम्पलैक्स (सेठबाडा)
बड़ागाँव,Badagaon,,1,बड़ागाँव
बादामसिंह,Badamsinh,y,1,सीर बादामसिंह
बदन,Badan,,1,"उऩ्देरा, बदनपुर बर्नामई"
बदनगढ़,Badangadh,,3,बदनगढ़
बदनगढ,Badangadh,,1,बदनगढ
बदनपुर,Badanpur,,12,"उऩ्देरा, बदनपुर बर्नामई"
बादौठ,Badauth,,2,"गढ़ी कौलाहर, बादौठ, अहमदपुर"
बढ़ा,Badha,,13,बढ़ा खादर
बढा,Badha,,2,बढा खादर
बाढ़ौन,Badhaun,,2,बाढ़ौन
बाढौन,Badhaun,,1,बाढौन
बढौता,Badhauta,,1,बढौता
बाढपुरा,Badhpura,,3,बाढपुरा
बडी,Badi,,4,बडी अथाई
बदरौली,Badrauli,,5,"पाली किरावली, सोनोठी, बदरौली"
बद्री,Badri,,1,बद्री नगर
ब्रदी,Badri,,1,ब्रदी नगर
बडवाला,Badvala,,2,बडवाला
बाग,Bag,,90,अदनबाग
बाग़,Bag,,2,बाग़ जोहरी
बाग/,Bag/,,1,रेणुका बाग/ रेणुका बिहार
बगल,Bagal,,2,गोविन्दपुर में बाजना पुल के बगल से बाजना होकर अरहेरा गांव की सीमा तक
बागर,Bagar,,1,औरगाबाद बागर
बगौर,Bagaur ,,1,बगौर स्टेशन बाजार
बागबुन्‍देला,Bagbundela,,1,बागबुन्‍देला
बगदा,Bagda,,1,बगदा
बागडी,Bagdi,,1,डीग रोड(बिजली घर) से बागडी प्याऊ तक( दसबिसा रोड)
बाघौर,Baghaur,,1,बाघौर
बाघई,Baghee,y,9,"उधन्नपुर बांगर, बाघई बांगर"
बघेल,Baghel,,2,नगला बघेल
बघेलान,Baghelan,,3,बघेलान
बाघोर,Baghor,,1,बाघोर
बघरैना,Baghraina,,1,बघरैना
बाघर्रा,Baghrra,,1,बाघर्रा
बगीची,Bagichi,,12,कोटली बगीची
बगिया,Bagiya,,3,टेडी बगिया
बागला,Bagla,,3,बागला एनकलेव
बागवाला,Bagvala,,1,बागवाला मौहल्ला
बगवती,Bagvati,,1,बगवती प्लाजा
बाह,Bah,,1,अभुआपुरा T.A.बाहर
बहाबुद्दीन,Bahabuddin,,2,तलैया पीर बहाबुद्दीन
बहादीन,Bahadin,,3,बहादीन
बहादुर,Bahadur,,15,"इटौली, कारव 1/4, बहादुर पुर"
बहादुरपुरा,Bahadurpura,,1,बहादुरपुरा
बहालराय,Bahalray,,2,घाटी बहालराय
बाहर,Bahar,,26,अभुआपुरा T.A.बाहर
बहार,Bahar,,1,शेष कोंसीकलां नगर पालिका बहार
बहेंटा,Bahenta,,1,बहेंटा
बहेरी,Baheri,,6,"तालगढ़ी, भीत बहेरी"
बहि,Bahi,,1,पुनीत बिहार सिकन्दरा बहिस्ताबाद
बहिस्ताबाद,Bahistabad,,3,पुनीत बिहार सिकन्दरा बहिस्ताबाद
बहोरा,Bahora,,2,भैंस बहोरा
बहरावली,Bahravali,,1,बहरावली
बहरावती,Bahravati,,17,"अभैदोपुरा, नगला बहरावती"
बहटा,Bahta,,4,दूरभाष केन्द्र से बहटा तिराहे तक
भाऊपुरा,Bahupura,,3,भाऊपुरा
बैंडिंग,Baiding,y,1,ओमेक्स बैंडिंग माल
बैक,Baik,y,5,छज्जन वाली गली बैक कालौनी का सम्पूर्ण क्षेत्र परपटकुण्ड
बाईखेडा,Baikheda,y,3,बाईखेडा
बार्इंखेड़ा,Baikheda,y,1,बार्इंखेड़ा
बैकुण्ठ,Baikunth,,3,बैकुण्ठ धाम
बैकुण्‍ठ,Baikunth,,1,बसेरा बैकुण्‍ठ
बैकुन्ठ,Baikunth,,1,बसैरा बैकुन्ठ
बैकुण्ठपुर,Baikunthpur,,1,बैकुण्ठपुर
बैलोट,Bailot,,1,बैलोट
बैनई,Bainaee,y,1,बैनई
बैनी,Baini,,1,नगला बैनी प्रसाद
बैनीपाडा,Bainipada,,1,बैनीपाडा
बाईपुर,Baipur,y,9,बाईपुर
बैरागपुरा,Bairagpura,,1,बैरागपुरा
बैराज,Bairaj,,4,तहसील सदर से गोकुल बैराज मोड तक
बैरी,Bairi,,1,बैरी
बैष्णो,Baishno,,2,"बैष्णो धाम फेस-1,2,3"
बैश्य,Baishya,,1,बैश्य मुहल्ला पानी की टंकी
बैस्टन,Baistan,y,1,उप्पल बैस्टन ग्रीन सिहाना
बजाजा,Bajaja,,1,बजाजा
बाजार,Bajar,,93,असकुण्डा बाजार
बजरिया,Bajariya,,2,तमसर कुन्ज बजरियान
बाजारकलां,Bajarkala,y,1,बाजारकलां
बाजीदपुर,Bajeedpur,,7,बाजीदपुर
बजेहरा,Bajehara,,3,बजेहरा 1
बझेड़ा,Bajheda,,6,बझेड़ा
बझेडा,Bajheda,,1,बझेडा
बजहेरा,Bajhera,,1,बजहेरा
बाजिदपुर,Bajidpur,,1,बाजिदपुर
बाजना,Bajna,,3,गोविन्दपुर में बाजना पुल के बगल से बाजना होकर अरहेरा गांव की सीमा तक
बजरंग,Bajrang,,4,बजरंग चौराहे से एन-एच 2 पर औरगाबाद मोड तक
बजरियान,Bajriyan,,1,तमसर कुन्ज बजरियान
बकला,Bakala,,3,"नीमगांव, बकला"
बाकलपुर,Bakalour,,3,बाकलपुर
बकालपुर,Bakalpur,,1,बकालपुर
बाकन्दा,Bakanda,,9,"अभैदोपुरा, खेडा बाकन्दा"
बाकरपुर,bakarpur,,3,भीकनपुर बाकरपुर
बाके,Bake,,1,बाके बिहारी धाम
बलाई,Balaee,y,3,बलाई
बालाजी,Balaji,,13,डी०डी० बालाजी पुरम
बालाजीधाम,Balajidham,,1,बालाजीधाम
बालाजीपुरम,Balajipuram,,1,बालाजीपुरम
बालचंद,Balchand,,1,नगला बालचंद
बलदाऊजी,Baldauji,y,1,श्री बलदाऊजी नगर कालौनी
बल्देव,Baldev,,5,बल्देवगढ
बल्देवराेड,Baldev road,,1,बल्देवराेड
बल्देवगढ,Baldevgadh,,1,बल्देवगढ
बल्देवगंज,Baldevganj,,2,बल्देवगंज की बीच वाली गली
बल्देवपुरी,Baldevpuri,,1,बल्देवपुरी
बालेश्वर,Baleshravar,y,1,बालेश्वर नगर
बल्केश्वर,Baleshravar ,y,2,न्यू आबादी बल्केश्वर
बल्हैरा,Balhaira,,7,धनोली ( बल्हैरा मोड श्रीराम गैस सर्विस चौराहे तक)
बल्हेरा,Balhera,,3,बल्हेरा
बली,Bali,,20,"गडसौली, नगला बली, सैदपुर"
बलीपुर,Balipur,,1,बलीपुर
बल्का,Balka,,2,बल्का बस्ती
बल्केश,Balkesh,,1,न्यू आबादी बल्केश्र्वर
बल्केश्र्वर,Balkeshravar,y,4,न्यू आबादी बल्केश्र्वर
बलकेशवर,Balkeshvar,,1,बलकेशवर काँलौनी
बल्लभ,Ballabh,,5,बल्लभ कुंज कॉलोनी
बल्ला,Ballabh,,4,"गली बल्ला,प्याऊ वाली गली"
बल्लभजी,Ballabhji,,1,बल्लभजी बिहार
बाल्मीक,Balmik,,2,"जाटवान,बाल्मीक बस्ती"
बाल्मिक,Balmik,,1,बाल्मिक गली
बलराम,Balram,,1,कृष्णबलराम रेजीडेंसी
बलरामपुर,Balrampur,,2,बलरामपुर
बल्टीकरी,Baltikari,,7,"जुगसना, बल्टीकरी"
बालू,Balu,,3,आकृति अपार्टमेन्ट बालूगंज
बालूगंज,Baluganj,,17,आकृति अपार्टमेन्ट बालूगंज
बलवन्त,Balvant,,1,बलवन्त नगर
बमनपुरा,Bamanpura,,1,बमनपुरा
बामौली,Bamauli,,1,बामौली
बम्बा,Bamba,,1,मथुरा डीग रोड पर बम्बा से ब्लाक आफि स तक
बमनई,Bamnaee,y,10,बमनई कला
